               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092802,            0.031181,                   0,             0.66536,                0.28,             0.33879,              0.1088,            0.062543,            0.014228,                   0,            0.070116,           0.0033205,           0.0033205
                   1,            0.064274,            0.032054,                   0,                   1,             0.47776,               0.614,             0.18635,            0.052299,             0.01218,                   0,             0.04005,           0.0065879,           0.0065879
                   2,            0.057124,            0.029746,                   0,             0.92465,                0.48,             0.66674,             0.27219,            0.042486,            0.013208,                   0,           0.0099181,           0.0097894,           0.0097894
                   3,            0.053627,            0.029904,                   0,             0.64217,             0.64626,              0.6226,             0.27861,            0.047984,            0.011999,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050221,            0.029852,                   0,             0.74249,             0.57716,             0.65199,             0.23082,            0.054532,             0.01198,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.048837,            0.028911,                   0,             0.88871,                0.64,             0.77107,              0.2722,            0.050382,            0.011534,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.047048,            0.028095,                   0,             0.98385,                0.64,             0.69106,             0.27611,            0.051006,            0.011984,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.046141,            0.028352,                   0,                   1,             0.70957,             0.77217,             0.35224,            0.046338,            0.012687,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.045539,            0.027579,                   0,             0.93205,                0.68,             0.75341,             0.28179,            0.047756,            0.011209,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.045433,            0.026985,                   0,             0.84963,                0.64,             0.73556,             0.26055,            0.047175,             0.01186,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.044796,            0.027058,                   0,              0.9849,                0.72,             0.77122,             0.27206,            0.046147,            0.011848,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.043748,            0.026663,                   0,                   1,             0.75715,             0.82095,             0.22452,            0.045844,            0.011654,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043257,            0.026236,                   0,             0.75334,                0.76,             0.73558,             0.38251,            0.043573,            0.011941,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.043188,            0.025912,                   0,             0.93607,                0.76,             0.79791,             0.32135,            0.046065,            0.011962,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041975,            0.026112,                   0,              0.8823,                0.64,             0.69002,             0.29464,            0.046658,            0.011786,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.042317,            0.025189,                   0,             0.97839,                 0.6,              0.7039,             0.29457,             0.04689,            0.012623,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.041853,            0.025919,                   0,             0.76882,                0.72,             0.69137,             0.24279,            0.047771,            0.011793,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041326,            0.025834,                   0,             0.87953,                0.68,             0.72191,              0.3148,            0.047793,            0.013148,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.040798,            0.026004,                   0,             0.73871,              0.6786,             0.62636,             0.24672,            0.048027,            0.013911,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.041307,            0.025384,                   0,             0.89244,                 0.8,             0.83737,             0.31781,            0.048405,            0.010911,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.04026,            0.025417,                   0,             0.88469,                0.72,             0.74726,              0.3398,            0.044242,            0.011545,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.039983,            0.024922,                   0,             0.85512,                0.76,             0.77184,             0.22937,            0.047316,            0.011724,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.039957,            0.025045,                   0,             0.88318,                0.72,             0.82227,             0.36116,              0.0426,            0.012051,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.03949,             0.02573,                   0,              0.8913,                 0.8,             0.84057,             0.29159,            0.048733,            0.011077,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03958,            0.024334,                   0,              0.8233,              0.7459,             0.75246,             0.34814,            0.041953,            0.011998,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.039157,            0.024872,                   0,             0.75849,                0.76,             0.71358,             0.35093,            0.042616,            0.012445,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.038849,            0.024427,                   0,             0.98244,                 0.8,             0.83546,             0.35258,            0.041855,            0.011969,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.039306,            0.024665,                   0,             0.91292,             0.83872,             0.83708,             0.25362,            0.049683,            0.012482,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.037868,            0.024053,                   0,             0.89719,                0.72,              0.7683,              0.2883,            0.045617,             0.01135,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.037956,            0.024082,                   0,             0.89673,                 0.8,             0.83271,              0.3352,            0.044271,            0.012109,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.038107,            0.023814,                   0,             0.99713,                0.72,             0.73923,             0.37452,            0.042848,            0.014081,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.037627,            0.023762,                   0,             0.95891,                 0.6,             0.65184,             0.29509,            0.050471,            0.012591,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.037739,             0.02336,                   0,              0.9921,                0.72,             0.83265,             0.28006,            0.047068,            0.012279,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.037184,             0.02413,                   0,             0.81939,                 0.8,             0.82416,               0.342,            0.044347,            0.011713,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.03756,            0.023461,                   0,             0.89919,                 0.8,             0.82485,             0.36572,            0.041641,            0.012093,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.036873,            0.023756,                   0,             0.89705,                0.84,             0.83757,              0.3493,            0.042779,            0.012151,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.037092,            0.023368,                   0,             0.90445,             0.75741,             0.82439,             0.35584,             0.04251,            0.011639,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.036712,            0.022978,                   0,             0.90818,              0.7916,             0.82951,             0.40767,            0.040725,            0.011875,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.036142,            0.022661,                   0,             0.89332,                 0.8,             0.86333,             0.33057,            0.045016,            0.011232,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.036574,             0.02301,                   0,             0.98171,                 0.8,             0.85803,             0.37744,            0.043875,            0.011296,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.035933,            0.022954,                   0,             0.83916,             0.83498,             0.83648,             0.34585,            0.042971,            0.011921,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.036285,            0.023699,                   0,             0.98242,                 0.8,             0.84726,             0.34249,            0.040973,            0.011266,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035494,             0.02226,                   0,             0.89137,                 0.8,             0.82092,             0.31344,            0.045051,            0.013843,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.035097,            0.022369,                   0,             0.99048,                 0.8,             0.83944,             0.31411,            0.046854,            0.012474,                   0,            0.005842,            0.005842,            0.005842
